name,personality,estimated_life_exp,grooming_freq,shedding,exercise_required,trainability,temperament
Rafeiro do Alentejo,"Confident, Calm, Powerful","(None,)","(40,)","(60,)","(40,)","(None,)","(None,)"
Field Spaniel,"Sweet, Fun-Loving, Sensitive","(12.5,)","(40,)","(80,)","(60,)","(60,)","(40,)"
Soft Coated Wheaten Terrier,"Friendly, Happy, Deeply Devoted","(13.0,)","(60,)","(20,)","(80,)","(40,)","(60,)"
Lagotto Romagnolo,"Affectionate, Keen, Undemanding","(16.0,)","(20,)","(20,)","(60,)","(100,)","(60,)"
Harrier,"Friendly, Outgoing, People-Oriented","(13.5,)","(40,)","(40,)","(100,)","(80,)","(80,)"
German Pinscher,"Courageous, Intelligent, Vivacious","(13.0,)","(20,)","(40,)","(100,)","(60,)","(60,)"
Deutscher Wachtelhund,"Friendly, Versatile, Determined","(None,)","(None,)","(None,)","(60,)","(None,)","(None,)"
Japanese Chin,"Charming, Noble, Loving","(11.0,)","(40,)","(60,)","(60,)","(40,)","(40,)"
Miniature Pinscher,"Fearless, Fun-Loving, Proud","(14.0,)","(20,)","(20,)","(60,)","(40,)","(60,)"
Mountain Cur,"Intelligent, Strong-Willed, Reserved with Strangers","(None,)","(20,)","(60,)","(100,)","(20,)","(40,)"
Cane Corso,"Affectionate, Intelligent, Majestic","(10.5,)","(20,)","(40,)","(80,)","(60,)","(60,)"
Berger Picard,"Loyal, Good-Natured, Observant","(12.5,)","(20,)","(60,)","(100,)","(80,)","(60,)"
Norwegian Lundehund,"Loyal, Energetic, Alert","(13.5,)","(40,)","(60,)","(80,)","(60,)","(40,)"
American English Coonhound,"Sweet, Mellow, Sociable","(11.5,)","(20,)","(40,)","(80,)","(60,)","(60,)"
Danish-Swedish Farmdog,"Energetic, Trainable, Attentive","(None,)","(20,)","(40,)","(80,)","(None,)","(None,)"
Wire Fox Terrier,"Confident, Alert, Gregarious","(13.5,)","(40,)","(20,)","(60,)","(60,)","(60,)"
Basset Hound,"Charming, Patient, Low-Key","(12.5,)","(60,)","(40,)","(20,)","(40,)","(80,)"
Otterhound,"Even-Tempered, Amiable, Boisterous","(11.5,)","(40,)","(60,)","(60,)","(20,)","(60,)"
Leonberger,"Friendly, Gentle, Playful","(9.0,)","(80,)","(80,)","(60,)","(100,)","(80,)"
Welsh Terrier,"Friendly, Spirited, Intelligent","(13.5,)","(60,)","(40,)","(80,)","(60,)","(100,)"
Irish Red and White Setter,"Courageous, Spirited, Determined","(13.0,)","(40,)","(None,)","(100,)","(80,)","(80,)"
Puli,"Loyal, Smart, Home-Loving","(12.5,)","(100,)","(20,)","(60,)","(40,)","(40,)"
Irish Wolfhound,"Courageous, Dignified, Calm","(7.0,)","(40,)","(60,)","(60,)","(40,)","(60,)"
Pekingese,"Affectionate, Loyal, Regal in Manner","(13.0,)","(60,)","(60,)","(40,)","(20,)","(40,)"
Thai Ridgeback,"Loyal, Independent, Agile","(None,)","(None,)","(None,)","(80,)","(40,)","(40,)"
Greyhound,"Gentle, Independent, Noble","(11.5,)","(20,)","(40,)","(80,)","(40,)","(80,)"
Whippet,"Affectionate, Playful, Calm","(13.5,)","(20,)","(40,)","(60,)","(40,)","(40,)"
Standard Schnauzer,"Fearless, Smart, Spirited","(14.5,)","(60,)","(20,)","(60,)","(40,)","(80,)"
Icelandic Sheepdog,"Friendly, Playful, Inquisitive","(13.0,)","(40,)","(60,)","(80,)","(100,)","(80,)"
Poodle (Miniature),"Active, Proud, Very Smart","(14.0,)","(None,)","(None,)","(None,)","(None,)","(None,)"
Dogo Argentino,"Friendly, Cheerful, Humble","(12.0,)","(20,)","(20,)","(100,)","(None,)","(None,)"
Transylvanian Hound,"Courageous, Good-Natured, Determined","(None,)","(40,)","(None,)","(100,)","(20,)","(None,)"
Lancashire Heeler,"Affectionate, Versatile, Intelligent","(None,)","(20,)","(60,)","(80,)","(80,)","(80,)"
Manchester Terrier (Toy),"Agile, Spirited, Intelligent","(16.0,)","(40,)","(40,)","(60,)","(80,)","(60,)"
Perro de Presa Canario,"Confident, Calm, Strong-Willed","(None,)","(20,)","(60,)","(40,)","(None,)","(None,)"
German Shorthaired Pointer,"Friendly, Smart, Willing to Please","(11.0,)","(40,)","(80,)","(100,)","(100,)","(80,)"
Small Munsterlander Pointer,"Intelligent, Devoted, Self-Confident","(None,)","(20,)","(60,)","(None,)","(None,)","(None,)"
Kai Ken,"Loyal, Agile, Keen","(None,)","(20,)","(60,)","(80,)","(40,)","(40,)"
Manchester Terrier (Standard),"Spirited, Bright, Keenly Observant","(16.0,)","(40,)","(40,)","(60,)","(80,)","(60,)"
Japanese Spitz,"Loyal, Playful, Smart","(None,)","(40,)","(40,)","(60,)","(80,)","(80,)"
Portuguese Pointer,"Affectionate, Smart, Energetic","(None,)","(20,)","(40,)","(80,)","(100,)","(80,)"
American Bulldog,"Loyal, Self-Confident","(None,)","(20,)","(60,)","(80,)","(60,)","(60,)"
Australian Stumpy Tail Cattle Dog,"Alert, Trainable, Comical","(None,)","(40,)","(40,)","(80,)","(80,)","(60,)"
Kromfohrlander,"Intelligent, Active, Sensitive","(None,)","(60,)","(80,)","(60,)","(60,)","(40,)"
Pudelpointer,"Friendly, Smart, Willing to Please","(None,)","(20,)","(60,)","(60,)","(None,)","(None,)"
Irish Setter,"Active, Outgoing, Sweet-Natured","(13.5,)","(60,)","(60,)","(100,)","(60,)","(100,)"
Clumber Spaniel,"Mellow, Amusing, Gentlemanly","(11.0,)","(40,)","(80,)","(60,)","(60,)","(40,)"
Glen of Imaal Terrier,"Gentle, Spirited, Bold","(12.5,)","(60,)","(40,)","(60,)","(40,)","(60,)"
Australian Terrier,"Affectionate, Courageous, Spirited","(13.0,)","(40,)","(20,)","(80,)","(60,)","(80,)"
Xoloitzcuintli,"Loyal, Alert, Calm","(15.5,)","(20,)","(20,)","(80,)","(60,)","(60,)"
Cardigan Welsh Corgi,"Affectionate, Loyal, Smart","(13.5,)","(40,)","(60,)","(80,)","(60,)","(60,)"
Afghan Hound,"Dignified, Profoundly Loyal, Aristocratic","(13.5,)","(80,)","(20,)","(80,)","(20,)","(20,)"
Airedale Terrier,"Friendly, Clever, Courageous","(12.5,)","(60,)","(40,)","(60,)","(100,)","(80,)"
Anatolian Shepherd Dog,"Loyal, Independent, Reserved","(12.0,)","(40,)","(60,)","(60,)","(40,)","(40,)"
Dogue de Bordeaux,"Affectionate, Loyal, Courageous","(6.5,)","(20,)","(80,)","(60,)","(60,)","(60,)"
Entlebucher Mountain Dog,"Loyal, Smart, Enthusiastic","(12.0,)","(20,)","(20,)","(100,)","(40,)","(40,)"
Pharaoh Hound,"Friendly, Smart, Noble","(13.0,)","(40,)","(60,)","(80,)","(40,)","(40,)"
Scottish Terrier,"Confident, Independent, Spirited","(12.0,)","(60,)","(40,)","(60,)","(40,)","(60,)"
Irish Water Spaniel,"Playful, Hardworking, Brave","(12.5,)","(40,)","(60,)","(100,)","(80,)","(40,)"
Shih Tzu,"Affectionate, Playful, Outgoing","(14.0,)","(80,)","(20,)","(60,)","(60,)","(80,)"
Pumi,"Energetic, Lively, Ready to Work","(12.5,)","(20,)","(20,)","(80,)","(80,)","(60,)"
Central Asian Shepherd Dog,"Independent, Courageous, Self-Confident","(None,)","(20,)","(60,)","(40,)","(40,)","(20,)"
Komondor,"Loyal, Dignified, Brave","(11.0,)","(100,)","(60,)","(60,)","(40,)","(40,)"
Rhodesian Ridgeback,"Affectionate, Dignified, Even-Tempered","(None,)","(40,)","(60,)","(60,)","(40,)","(60,)"
Skye Terrier,"Courageous, Good-Tempered, Canny","(13.0,)","(80,)","(60,)","(60,)","(40,)","(40,)"
Greater Swiss Mountain Dog,"Faithful, Family-Oriented, Dependable","(9.5,)","(40,)","(60,)","(80,)","(60,)","(60,)"
Sussex Spaniel,"Friendly, Merry, Even-Tempered","(14.0,)","(60,)","(60,)","(60,)","(40,)","(40,)"
Boxer,"Bright, Fun-Loving, Active","(11.0,)","(40,)","(40,)","(80,)","(80,)","(100,)"
Cirneco dell’Etna,"Affectionate, Friendly, Independent","(13.0,)","(20,)","(20,)","(60,)","(60,)","(60,)"
Finnish Spitz,"Friendly, Good-Natured, Lively","(14.0,)","(40,)","(60,)","(100,)","(60,)","(80,)"
Hanoverian Scenthound,"Loyal, Independent, Calm","(None,)","(20,)","(20,)","(60,)","(40,)","(40,)"
Czechoslovakian Vlcak,"Loyal, Intelligent, Active","(None,)","(40,)","(100,)","(100,)","(20,)","(20,)"
American Water Spaniel,"Eager, Happy, Charming","(12.0,)","(60,)","(20,)","(60,)","(100,)","(80,)"
German Spitz,"Devoted, Lively, Attentive","(None,)","(60,)","(60,)","(None,)","(100,)","(40,)"
Poodle (Standard),"Active, Proud, Very Smart","(14.0,)","(100,)","(20,)","(60,)","(100,)","(80,)"
Vizsla,"Affectionate, Gentle, Energetic","(13.0,)","(40,)","(60,)","(80,)","(100,)","(80,)"
Norwich Terrier,"Affectionate, Alert, Curious","(13.5,)","(40,)","(60,)","(80,)","(60,)","(80,)"
Nova Scotia Duck Tolling Retriever,"Affectionate, Intelligent, Outgoing","(13.0,)","(40,)","(60,)","(100,)","(80,)","(80,)"
Caucasian Shepherd Dog,"Fearless, Bold, Kind","(None,)","(60,)","(80,)","(40,)","(40,)","(20,)"
Rat Terrier,"Friendly, Inquisitive, Lovable","(15.0,)","(40,)","(60,)","(60,)","(80,)","(80,)"
Chesapeake Bay Retriever,"Affectionate, Bright, Sensitive","(11.5,)","(60,)","(80,)","(80,)","(60,)","(40,)"
Staffordshire Bull Terrier,"Clever, Brave, Tenacious","(13.0,)","(40,)","(40,)","(80,)","(20,)","(80,)"
Belgian Sheepdog,"Bright, Watchful, Serious-Minded","(13.0,)","(60,)","(60,)","(80,)","(80,)","(40,)"
Beagle,"Friendly, Curious, Merry","(12.5,)","(60,)","(60,)","(80,)","(60,)","(80,)"
Portuguese Sheepdog,"Intelligent, Devoted, Lively","(None,)","(40,)","(40,)","(80,)","(None,)","(None,)"
American Eskimo Dog,"Playful, Perky, Smart","(14.0,)","(40,)","(60,)","(80,)","(100,)","(100,)"
Kishu Ken,"Faithful, Noble, Docile","(None,)","(20,)","(60,)","(80,)","(40,)","(40,)"
Nederlandse Kooikerhondje,"Friendly, Alert, Quick","(13.5,)","(40,)","(60,)","(60,)","(100,)","(40,)"
Brussels Griffon,"Loyal, Alert, Curious","(13.5,)","(60,)","(60,)","(60,)","(60,)","(80,)"
Braque du Bourbonnais,"Affectionate, Adaptable, Gentle","(None,)","(None,)","(None,)","(60,)","(100,)","(60,)"
Collie,"Devoted, Graceful, Proud","(13.0,)","(60,)","(60,)","(60,)","(80,)","(80,)"
English Springer Spaniel,"Friendly, Playful, Obedient","(13.0,)","(40,)","(40,)","(60,)","(100,)","(80,)"
Papillon,"Friendly, Alert, Happy","(15.0,)","(40,)","(60,)","(60,)","(100,)","(100,)"
Flat-Coated Retriever,"Cheerful, Optimistic, Good-Humored","(9.0,)","(40,)","(80,)","(100,)","(100,)","(80,)"
Poodle (Toy),"Agile, Intelligent, Self-Confident","(14.0,)","(100,)","(20,)","(60,)","(100,)","(80,)"
Alaskan Malamute,"Affectionate, Loyal, Playful","(12.0,)","(60,)","(60,)","(80,)","(40,)","(80,)"
Norwegian Buhund,"Confident, Smart, Perceptive","(13.5,)","(40,)","(60,)","(80,)","(80,)","(80,)"
Old English Sheepdog,"Adaptable, Gentle, Smart","(11.0,)","(60,)","(60,)","(60,)","(40,)","(60,)"
Parson Russell Terrier,"Friendly, Clever, Athletic","(14.0,)","(40,)","(40,)","(100,)","(60,)","(80,)"
Jindo,"Alert, Intelligent, Bold","(None,)","(40,)","(60,)","(80,)","(40,)","(40,)"
Samoyed,"Adaptable, Friendly, Gentle","(13.0,)","(60,)","(60,)","(80,)","(40,)","(80,)"
Bulldog,"Friendly, Courageous, Calm","(9.0,)","(60,)","(80,)","(60,)","(60,)","(80,)"
Peruvian Inca Orchid,"Affectionate, Loyal, Noble","(None,)","(20,)","(80,)","(80,)","(60,)","(40,)"
Redbone Coonhound,"Even-Tempered, Amiable, Eager to Please","(13.5,)","(40,)","(60,)","(60,)","(80,)","(80,)"
American Hairless Terrier,"Energetic, Alert, Curious","(15.0,)","(None,)","(None,)","(None,)","(None,)","(None,)"
Azawakh,"Loyal, Independent, Deeply Affectionate","(13.5,)","(40,)","(40,)","(60,)","(40,)","(80,)"
Cesky Terrier,"Clever, Adventurous, Family-Oriented","(13.5,)","(40,)","(40,)","(60,)","(60,)","(40,)"
Bichon Frise,"Playful, Curious, Peppy","(14.5,)","(100,)","(20,)","(60,)","(60,)","(100,)"
Briard,"Confident, Smart, Faithful","(12.0,)","(80,)","(20,)","(60,)","(40,)","(40,)"
Lapponian Herder,"Friendly, Energetic, Intelligent","(None,)","(40,)","(60,)","(60,)","(100,)","(40,)"
Sloughi,"Reserved, Graceful, Noble","(12.5,)","(40,)","(20,)","(60,)","(None,)","(None,)"
Tosa,"Fearless, Patient, Vigilant","(None,)","(20,)","(40,)","(40,)","(60,)","(40,)"
Tibetan Terrier,"Affectionate, Loyal, Sensitive","(15.5,)","(60,)","(60,)","(80,)","(40,)","(40,)"
Karelian Bear Dog,"Loyal, Independent, Courageous","(None,)","(20,)","(60,)","(40,)","(None,)","(None,)"
Segugio Italiano,"Friendly, Intelligent, Eager to Please","(None,)","(40,)","(60,)","(None,)","(100,)","(None,)"
Boston Terrier,"Friendly, Bright, Amusing","(12.0,)","(40,)","(20,)","(60,)","(100,)","(100,)"
Stabyhoun,"Intelligent, Responsive, Loving","(None,)","(None,)","(None,)","(80,)","(None,)","(None,)"
American Leopard Hound,"Sociable, Energetic, Intelligent","(None,)","(40,)","(60,)","(80,)","(100,)","(60,)"
Ibizan Hound,"Family-Oriented, Even-Tempered, Polite","(12.5,)","(20,)","(40,)","(100,)","(40,)","(40,)"
Australian Cattle Dog,"Alert, Curious, Pleasant","(14.0,)","(20,)","(80,)","(100,)","(20,)","(40,)"
Pembroke Welsh Corgi,"Affectionate, Smart, Alert","(12.5,)","(40,)","(80,)","(80,)","(60,)","(100,)"
Chinese Crested,"Affectionate, Alert, Lively","(15.5,)","(20,)","(20,)","(60,)","(60,)","(80,)"
Australian Kelpie,"Loyal, Alert, Intelligent","(None,)","(40,)","(80,)","(80,)","(100,)","(60,)"
Norwegian Elkhound,"Friendly, Confident, Dependable","(13.5,)","(40,)","(60,)","(60,)","(60,)","(80,)"
Beauceron,"Gentle, Faithful, Obedient","(11.0,)","(60,)","(100,)","(100,)","(80,)","(40,)"
Bouvier des Flandres,"Affectionate, Courageous, Strong-Willed","(11.0,)","(80,)","(60,)","(80,)","(60,)","(60,)"
Working Kelpie,"Alert, Eager, Intelligent","(None,)","(20,)","(60,)","(80,)","(40,)","(60,)"
Portuguese Podengo,"Independent, Alert, Intelligent","(None,)","(40,)","(80,)","(80,)","(60,)","(40,)"
Jagdterrier,"Courageous, Intelligent, Hardworking","(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
Lakeland Terrier,"Friendly, Confident, Bold","(13.5,)","(40,)","(20,)","(60,)","(60,)","(60,)"
German Longhaired Pointer,"Versatile, Calm, Family-Oriented","(None,)","(20,)","(None,)","(80,)","(100,)","(80,)"
Bohemian Shepherd,"Friendly, Devoted, Alert and Intelligent","(None,)","(20,)","(40,)","(60,)","(None,)","(None,)"
Bolognese,"Playful, Easy-Going, Devoted","(None,)","(60,)","(20,)","(40,)","(60,)","(80,)"
Polish Lowland Sheepdog,"Confident, Clever, Lively","(13.0,)","(80,)","(60,)","(80,)","(20,)","(20,)"
Schipperke,"Confident, Alert, Curious","(13.0,)","(40,)","(60,)","(80,)","(40,)","(60,)"
Slovensky Cuvac,"Courageous, Alert, Faithful","(None,)","(40,)","(80,)","(40,)","(None,)","(None,)"
Border Collie,"Affectionate, Smart, Energetic","(13.5,)","(60,)","(60,)","(100,)","(100,)","(40,)"
