name,personality,estimated_life_exp,grooming_freq,shedding,exercise_required,trainability,temperament
Newfoundland,"Sweet, Patient, Devoted","(9.5,)","(40,)","(60,)","(60,)","(80,)","(80,)"
Norrbottenspets,"Fearless, Agile, Attentive","(None,)","(40,)","(40,)","(80,)","(None,)","(None,)"
Petit Basset Griffon Vendéen,"Alert, Happy, Vivacious","(13.0,)","(40,)","(40,)","(80,)","(40,)","(80,)"
Border Terrier,"Affectionate, Happy, Plucky","(13.5,)","(40,)","(40,)","(60,)","(80,)","(80,)"
Bullmastiff,"Affectionate, Loyal, Brave","(8.0,)","(20,)","(60,)","(80,)","(60,)","(60,)"
Bedlington Terrier,"Loyal, Charming, Frollicking","(13.5,)","(60,)","(None,)","(80,)","(60,)","(60,)"
Catahoula Leopard Dog,"Loyal, Independent, Watchful","(None,)","(None,)","(None,)","(100,)","(40,)","(40,)"
Cavalier King Charles Spaniel,"Affectionate, Gentle, Graceful","(13.5,)","(40,)","(40,)","(40,)","(100,)","(80,)"
Gordon Setter,"Affectionate, Confident, Bold","(12.5,)","(40,)","(60,)","(100,)","(40,)","(40,)"
Cocker Spaniel,"Gentle, Smart, Happy","(12.0,)","(80,)","(40,)","(60,)","(100,)","(100,)"
Bergamasco Sheepdog,"Independent, Sociable, Intelligent","(14.0,)","(None,)","(None,)","(40,)","(60,)","(40,)"
Chinese Shar-Pei,"Loyal, Independent, Calm","(10.0,)","(20,)","(80,)","(60,)","(20,)","(40,)"
Mastiff,"Courageous, Dignified, Good-Natured","(8.0,)","(20,)","(40,)","(60,)","(60,)","(60,)"
Shiba Inu,"Alert, Active, Attentive","(14.5,)","(40,)","(60,)","(60,)","(40,)","(40,)"
Miniature American Shepherd,"Good-Natured, Intelligent, Devoted","(12.5,)","(80,)","(100,)","(80,)","(100,)","(80,)"
Bracco Italiano,"Affectionate, Intelligent, Enthusiastic","(None,)","(20,)","(40,)","(80,)","(80,)","(60,)"
Boykin Spaniel,"Friendly, Eager, Lovable","(12.5,)","(60,)","(60,)","(60,)","(100,)","(60,)"
English Toy Spaniel,"Gentle, Playful, Intelligent","(11.0,)","(60,)","(60,)","(60,)","(40,)","(60,)"
Mudi,"Loyal, Intelligent, Active","(None,)","(20,)","(40,)","(100,)","(100,)","(40,)"
Plott Hound,"Loyal, Alert, Intelligent","(13.0,)","(20,)","(40,)","(80,)","(40,)","(60,)"
Labrador Retriever,"Friendly, Active, Outgoing","(11.0,)","(40,)","(80,)","(100,)","(100,)","(100,)"
Affenpinscher,"Confident, Famously Funny, Fearless","(13.5,)","(60,)","(60,)","(60,)","(80,)","(100,)"
Chow Chow,"Dignified, Bright, Serious-Minded","(10.0,)","(60,)","(60,)","(60,)","(20,)","(40,)"
Dachshund,"Friendly, Curious, Spunky","(14.0,)","(40,)","(40,)","(60,)","(60,)","(60,)"
Akita,"Courageous, Dignified, Profoundly Loyal","(11.5,)","(80,)","(60,)","(80,)","(100,)","(60,)"
Russian Toy,"Loyal, Smart, Charming","(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
Swedish Lapphund,"Playful, Intelligent, Lively","(None,)","(40,)","(60,)","(60,)","(20,)","(60,)"
Drentsche Patrijshond,"Loyal, Intelligent, Sensitive","(None,)","(40,)","(80,)","(80,)","(60,)","(40,)"
Bull Terrier,"Playful, Charming, Mischievous","(12.5,)","(40,)","(60,)","(80,)","(40,)","(80,)"
Neapolitan Mastiff,"Loyal, Dignified, Watchful","(8.0,)","(40,)","(60,)","(60,)","(20,)","(20,)"
Shetland Sheepdog,"Playful, Energetic, Bright","(13.0,)","(60,)","(60,)","(60,)","(100,)","(40,)"
Taiwan Dog,"Loyal, Versatile, Intelligent","(None,)","(40,)","(60,)","(100,)","(80,)","(40,)"
Cairn Terrier,"Alert, Cheerful, Busy","(14.0,)","(40,)","(40,)","(60,)","(60,)","(80,)"
Hamiltonstovare,"Agile, Versatile, Regal","(None,)","(20,)","(20,)","(80,)","(60,)","(80,)"
Kerry Blue Terrier,"Smart, Alert, People-Oriented","(13.5,)","(60,)","(None,)","(60,)","(20,)","(60,)"
German Shepherd Dog,"Confident, Courageous, Smart","(8.5,)","(40,)","(80,)","(60,)","(100,)","(60,)"
Pyrenean Shepherd,"Affectionate, Active, Enthusiastic","(None,)","(40,)","(60,)","(80,)","(60,)","(40,)"
Curly-Coated Retriever,"Confident, Proud, Wickedly Smart","(11.0,)","(20,)","(40,)","(80,)","(40,)","(40,)"
Sealyham Terrier,"Alert, Outgoing, Sense Of Humor","(13.0,)","(60,)","(60,)","(60,)","(40,)","(60,)"
Treeing Tennessee Brindle,"Friendly, Alert, Intelligent","(None,)","(40,)","(40,)","(60,)","(None,)","(None,)"
Braque Francais Pyrenean,"Friendly, Smart, Willing to Please","(None,)","(20,)","(60,)","(100,)","(None,)","(None,)"
Brittany,"Bright, Fun-Loving, Upbeat","(13.0,)","(60,)","(60,)","(100,)","(100,)","(80,)"
Bavarian Mountain Scent Hound,"Loyal, Versatile, Reserved with Strangers","(None,)","(40,)","(80,)","(60,)","(60,)","(40,)"
Finnish Lapphund,"Friendly, Alert, Agile","(13.5,)","(40,)","(60,)","(60,)","(100,)","(40,)"
Dutch Shepherd,"Intelligent, Lively, Athletic","(None,)","(None,)","(None,)","(100,)","(60,)","(60,)"
Portuguese Podengo Pequeno,"Playful, Charming, Lively","(13.5,)","(40,)","(60,)","(80,)","(60,)","(80,)"
Spinone Italiano,"Sociable, Patient, Docile","(None,)","(40,)","(None,)","(80,)","(60,)","(60,)"
Porcelaine,"Independent, Energetic, Powerful","(None,)","(20,)","(None,)","(80,)","(60,)","(None,)"
Silky Terrier,"Friendly, Quick, Keenly Alert","(14.0,)","(60,)","(40,)","(60,)","(60,)","(60,)"
Rottweiler,"Loyal, Loving, Confident Guardian","(9.5,)","(40,)","(60,)","(60,)","(60,)","(40,)"
Havanese,"Intelligent, Outgoing, Funny","(15.0,)","(60,)","(40,)","(60,)","(80,)","(100,)"
Tibetan Mastiff,"Independent, Reserved, Intelligent","(11.0,)","(60,)","(60,)","(60,)","(40,)","(60,)"
Hovawart,"Alert, Faithful, Intelligent","(None,)","(20,)","(60,)","(60,)","(None,)","(None,)"
Swedish Vallhund,"Friendly, Energetic, Watchful","(13.5,)","(20,)","(60,)","(100,)","(100,)","(80,)"
Dalmatian,"Dignified, Smart, Outgoing","(12.0,)","(40,)","(100,)","(80,)","(60,)","(60,)"
Pointer,"Loyal, Hardworking, Even-Tempered","(14.5,)","(40,)","(40,)","(80,)","(60,)","(60,)"
Grand Basset Griffon Vendéen,"Independent, Happy, Outgoing","(14.0,)","(40,)","(60,)","(100,)","(40,)","(80,)"
Belgian Malinois,"Confident, Smart, Hardworking","(15.0,)","(40,)","(60,)","(80,)","(80,)","(40,)"
Eurasier,"Confident, Calm, Family-Oriented","(None,)","(60,)","(60,)","(60,)","(60,)","(40,)"
Dandie Dinmont Terrier,"Independent, Smart, Proud","(13.5,)","(80,)","(20,)","(60,)","(40,)","(40,)"
Yakutian Laika,"Affectionate, Intelligent, Active","(None,)","(40,)","(60,)","(80,)","(None,)","(None,)"
French Bulldog,"Adaptable, Playful, Smart","(11.0,)","(20,)","(80,)","(40,)","(60,)","(60,)"
Hokkaido,"Dignified, Alert, Devoted","(None,)","(40,)","(60,)","(80,)","(None,)","(None,)"
Keeshond,"Friendly, Lively, Outgoing","(13.5,)","(60,)","(60,)","(60,)","(80,)","(80,)"
American Staffordshire Terrier,"Confident, Smart, Good-Natured","(14.0,)","(20,)","(40,)","(60,)","(60,)","(60,)"
Broholmer,"Friendly, Watchful, Loving","(None,)","(20,)","(60,)","(40,)","(None,)","(None,)"
Pug,"Charming, Mischievous, Loving","(14.0,)","(40,)","(80,)","(60,)","(60,)","(80,)"
Bearded Collie,"Smart, Bouncy, Charismatic","(13.0,)","(80,)","(60,)","(60,)","(40,)","(100,)"
Basset Fauve de Bretagne,"Smart, Cheerful, Determined","(None,)","(40,)","(60,)","(60,)","(20,)","(100,)"
Siberian Husky,"Loyal, Mischievous, Outgoing","(13.0,)","(40,)","(60,)","(80,)","(40,)","(80,)"
Australian Shepherd,"Smart, Work-Oriented, Exuberant","(13.5,)","(40,)","(60,)","(80,)","(100,)","(60,)"
Great Pyrenees,"Smart, Patient, Calm","(11.0,)","(40,)","(60,)","(100,)","(40,)","(40,)"
Tibetan Spaniel,"Playful, Bright, Self-Confident","(13.5,)","(40,)","(60,)","(40,)","(60,)","(60,)"
Irish Terrier,"Bold, Dashing, Tenderhearted","(14.0,)","(20,)","(None,)","(60,)","(60,)","(60,)"
Italian Greyhound,"Playful, Alert, Sensitive","(14.5,)","(20,)","(60,)","(60,)","(40,)","(20,)"
Miniature Bull Terrier,"Upbeat, Mischievous, Comical","(12.0,)","(20,)","(40,)","(80,)","(40,)","(60,)"
Miniature Schnauzer,"Friendly, Smart, Obedient","(13.5,)","(100,)","(20,)","(60,)","(100,)","(60,)"
Canaan Dog,"Confident, Alert, Vigilant","(13.5,)","(40,)","(100,)","(60,)","(40,)","(40,)"
Belgian Laekenois,"Affectionate, Alert, Intelligent","(None,)","(40,)","(80,)","(80,)","(80,)","(40,)"
Coton de Tulear,"Charming, Bright, Happy-Go-Lucky","(17.0,)","(80,)","(40,)","(60,)","(80,)","(100,)"
Giant Schnauzer,"Loyal, Alert, Trainable","(13.5,)","(80,)","(None,)","(100,)","(80,)","(60,)"
Great Dane,"Friendly, Patient, Dependable","(8.5,)","(20,)","(60,)","(80,)","(60,)","(60,)"
Weimaraner,"Friendly, Fearless, Obedient","(11.5,)","(40,)","(60,)","(100,)","(100,)","(80,)"
Bernese Mountain Dog,"Good-Natured, Calm, Strong","(8.5,)","(60,)","(100,)","(80,)","(80,)","(40,)"
Chinook,"Smart, Patient, Devoted","(13.5,)","(40,)","(60,)","(80,)","(100,)","(80,)"
Estrela Mountain Dog,"Alert, Intelligent, Brave","(None,)","(40,)","(60,)","(40,)","(None,)","(None,)"
Wetterhoun,"Loyal, Good-Natured, Intelligent","(None,)","(20,)","(40,)","(60,)","(20,)","(40,)"
Scottish Deerhound,"Gentle, Dignified, Polite","(9.5,)","(20,)","(60,)","(60,)","(40,)","(60,)"
Portuguese Water Dog,"Affectionate, Adventurous, Athletic","(12.0,)","(80,)","(60,)","(80,)","(80,)","(60,)"
English Cocker Spaniel,"Energetic, Merry, Responsive","(13.0,)","(60,)","(40,)","(60,)","(100,)","(80,)"
Russell Terrier,"Alert, Inquisitive, Lively","(13.0,)","(40,)","(40,)","(100,)","(60,)","(80,)"
Slovakian Wirehaired Pointer,,"(None,)","(20,)","(40,)","(80,)","(40,)","(100,)"
Belgian Tervuren,"Courageous, Alert, Intelligent","(13.0,)","(60,)","(60,)","(80,)","(80,)","(40,)"
Carolina Dog,"Loyal, Independent, Reserved with Strangers","(None,)","(20,)","(60,)","(60,)","(100,)","(60,)"
Pyrenean Mastiff,"Gentle, Brave, Noble","(None,)","(60,)","(60,)","(40,)","(None,)","(None,)"
Shikoku,"Energetic, Alert, Enthusiastic","(None,)","(40,)","(None,)","(60,)","(None,)","(None,)"
Borzoi,"Affectionate, Loyal, Regally Dignified","(11.5,)","(40,)","(60,)","(80,)","(40,)","(60,)"
Wirehaired Pointing Griffon,"Friendly, Devoted, Trainable","(13.5,)","(40,)","(60,)","(100,)","(60,)","(60,)"
Spanish Water Dog,Playful but also Work-Oriented. Very Active and Upbeat.,"(13.0,)","(100,)","(20,)","(80,)","(100,)","(40,)"
Spanish Mastiff,"Affectionate, Intelligent, Kind","(None,)","(60,)","(None,)","(40,)","(None,)","(None,)"
Schapendoes,"Friendly, Watchful, Lively","(None,)","(40,)","(60,)","(60,)","(80,)","(60,)"
Appenzeller Sennenhund,"Agile, Versatile, Lively","(None,)","(40,)","(80,)","(100,)","(20,)","(40,)"
Kuvasz,"Loyal, Fearless, Sweet","(11.0,)","(40,)","(80,)","(60,)","(40,)","(40,)"
West Highland White Terrier,"Loyal, Happy, Entertaining","(14.0,)","(80,)","(60,)","(60,)","(60,)","(80,)"
American Foxhound,"Independent, Easy-Going, Sweet-Tempered","(12.0,)","(20,)","(60,)","(80,)","(40,)","(80,)"
Black and Tan Coonhound,"Easy-Going, Bright, Brave","(11.0,)","(40,)","(60,)","(60,)","(40,)","(80,)"
Biewer Terrier,"Intelligent, Devoted, Amusing","(None,)","(None,)","(None,)","(40,)","(100,)","(100,)"
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic","(15.0,)","(40,)","(80,)","(100,)","(100,)","(40,)"
Black Russian Terrier,"Intelligent, Calm, Powerful","(11.0,)","(80,)","(60,)","(80,)","(80,)","(40,)"
Treeing Walker Coonhound,"Smart, Brave, Courteous","(12.5,)","(20,)","(60,)","(60,)","(40,)","(80,)"
Yorkshire Terrier,"Affectionate, Sprightly, Tomboyish","(13.0,)","(100,)","(20,)","(60,)","(20,)","(80,)"
Boerboel,"Confident, Intelligent, Calm","(10.0,)","(20,)","(40,)","(40,)","(60,)","(40,)"
Golden Retriever,"Friendly, Intelligent, Devoted","(11.0,)","(40,)","(60,)","(100,)","(100,)","(80,)"
Saint Bernard,"Playful, Charming, Inquisitive","(9.0,)","(40,)","(60,)","(60,)","(60,)","(80,)"
Wirehaired Vizsla,"Gentle, Loyal, Trainable","(13.0,)","(20,)","(60,)","(80,)","(60,)","(60,)"
Teddy Roosevelt Terrier,"Playful, Versatile, Intelligent","(None,)","(40,)","(60,)","(80,)","(100,)","(80,)"
Drever,"Loyal, Even-Tempered, Determined","(None,)","(20,)","(40,)","(60,)","(20,)","(60,)"
Smooth Fox Terrier,"Friendly, Independent, Amusing","(13.5,)","(40,)","(40,)","(80,)","(60,)","(80,)"
Lowchen,"Affectionate, Outgoing, Positive","(None,)","(20,)","(20,)","(60,)","(60,)","(100,)"
Tornjak,"Friendly, Courageous, Intelligent","(None,)","(None,)","(None,)","(None,)","(80,)","(60,)"
Russian Tsvetnaya Bolonka,"Playful, Charming, Inquisitive","(None,)","(60,)","(20,)","(60,)","(60,)","(80,)"
Saluki,"Gentle, Dignified, Independent-Minded","(13.5,)","(20,)","(40,)","(80,)","(40,)","(40,)"
English Setter,"Friendly, Mellow, Merry","(12.0,)","(60,)","(80,)","(80,)","(80,)","(80,)"
Doberman Pinscher,"Loyal, Fearless, Alert","(11.0,)","(20,)","(80,)","(100,)","(100,)","(60,)"
Toy Fox Terrier,"Friendly, Alert, Intelligent","(14.0,)","(40,)","(40,)","(80,)","(100,)","(80,)"
Chihuahua,"Charming, Graceful, Sassy","(15.0,)","(20,)","(40,)","(60,)","(40,)","(60,)"
Basenji,"Independent, Smart, Poised","(13.5,)","(20,)","(40,)","(80,)","(40,)","(40,)"
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent","(None,)","(20,)","(40,)","(100,)","(100,)","(40,)"
Bloodhound,"Friendly, Independent, Inquisitive","(11.0,)","(40,)","(60,)","(60,)","(40,)","(60,)"
Welsh Springer Spaniel,"Happy, Reserved, Upbeat","(13.5,)","(40,)","(None,)","(80,)","(80,)","(80,)"
Bluetick Coonhound,"Smart, Devoted, Tenacious","(11.5,)","(40,)","(60,)","(80,)","(60,)","(80,)"
Maltese,"Gentle, Playful, Charming","(13.5,)","(80,)","(20,)","(60,)","(60,)","(100,)"
Barbet,"Friendly, Bright, Sweet-Natured","(13.0,)","(None,)","(None,)","(60,)","(60,)","(80,)"
French Spaniel,"Gentle, Sociable, Intelligent","(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
Romanian Mioritic Shepherd Dog,"Loyal, Independent, Confident Guardian","(None,)","(None,)","(None,)","(60,)","(None,)","(None,)"
Slovensky Kopov,"Courageous, Alert, Determined","(None,)","(20,)","(60,)","(60,)","(None,)","(None,)"
Norfolk Terrier,"Fearless, Alert, Fun-Loving","(14.0,)","(40,)","(60,)","(60,)","(60,)","(80,)"
Pomeranian,"Inquisitive, Bold, Lively","(14.0,)","(60,)","(60,)","(60,)","(60,)","(60,)"
Lhasa Apso,"Confident, Smart, Comical","(13.5,)","(60,)","(20,)","(60,)","(40,)","(40,)"
English Foxhound,"Affectionate, Gentle, Sociable","(11.5,)","(20,)","(80,)","(80,)","(60,)","(80,)"
